coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date
Bitcoin,BTC,0.9913189301474841,0.9086357947434294,0.552739165985282,0.11866047231900888,0.6108704964347693,0.9934460122575236,2022-03-16
Ethereum,ETH,0.06658398287898774,0.9111389236545683,0.5560098119378577,0.1205962059620596,0.3408769457657339,0.42143523735511584,2022-03-16
Tether,USDT,2.4261674742554178e-05,0.8798498122653317,0.5273916598528209,0.10801393728222994,1.0,0.10296157729269603,2022-03-16
BNB,BNB,0.009302653960306682,0.9036295369211514,0.5511038430089941,0.10878823073945022,0.024093462139330796,0.08244469704457359,2022-03-16
USD Coin,USDC,2.425861777153208e-05,0.8798498122653317,0.5282093213409648,0.10801393728222994,0.06683827872339852,0.06721080304443114,2022-03-16
XRP,XRP,1.9045851375310114e-05,0.904881101376721,0.543744889615699,0.12524196670538132,0.06775190777754801,0.048278933531863126,2022-03-16
Terra,LUNA,0.0021716625093927675,0.9111389236545683,0.5241210139002452,0.11691831204026323,0.04593958207628716,0.04237074560737385,2022-03-16
Solana,SOL,0.0020770419777563893,0.9111389236545683,0.5396565821749794,0.11595044521873785,0.030657948753529805,0.035399108467446844,2022-03-16
Cardano,ADA,1.999552611116723e-05,0.9011264080100125,0.5412919051512673,0.11343399148277192,0.016410094665562397,0.03384758105730654,2022-03-16
Polkadot,DOT,0.0004500540671062559,0.9198998748435545,0.5568274734260016,0.12640340689121174,0.013156112001837429,0.02591390825906419,2022-03-16
Avalanche,AVAX,0.0017878428143959717,0.9236545682102628,0.5543744889615698,0.11014324428958573,0.014962274146515983,0.025125720727815184,2022-03-16
Binance USD,BUSD,2.4261674742554178e-05,0.8785982478097623,0.5298446443172525,0.10840108401084009,0.069724558144343,0.023078783899384517,2022-03-16
Dogecoin,DOGE,2.8061052688837507e-06,0.8998748435544431,0.5470155355682746,0.10588463027487414,0.007799083941849879,0.0196472441251775,2022-03-16
TerraUSD,UST,2.4261674742554178e-05,0.8798498122653317,0.5306623058053965,0.10820751064653501,0.012811071876357567,0.019277665125160822,2022-03-16
Shiba Inu,SHIB,5.4386586011157e-10,0.9111389236545683,0.5511038430089941,0.10394889663182344,0.009430312636809489,0.015618750328558069,2022-03-16
Wrapped Bitcoin,WBTC,0.9903722395976248,0.9061326658322904,0.552739165985282,0.11866047231900888,0.007647291265680294,0.014190336574684452,2022-03-16
Cronos,CRO,9.742882013195307e-06,0.9036295369211514,0.5633687653311529,0.11536972512582266,0.0017128425298391225,0.012941560701073797,2022-03-16
Polygon,MATIC,3.4936811645119914e-05,0.9173967459324155,0.5560098119378577,0.10801393728222994,0.011486309608891897,0.012622456200248221,2022-03-16
Dai,DAI,2.4247821326255623e-05,0.8811013767209012,0.5273916598528209,0.10801393728222994,0.005370029465045675,0.01199665202763874,2022-03-16
Cosmos Hub,ATOM,0.0006987362335864806,0.902377972465582,0.5699100572363041,0.11478900503290744,0.013546273666892563,0.010670314753914648,2022-03-16
Litecoin,LTC,0.0026551976877294383,0.9011264080100125,0.5388389206868356,0.12524196670538132,0.01269903965983263,0.00974729496415794,2022-03-16
Lido Staked Ether,STETH,0.06660581838628844,0.9136420525657072,0.5568274734260016,0.12098335269066973,0.00035085947785669515,0.008899929577400207,2022-03-16
Near,NEAR,0.00025741636936450134,0.9324155193992489,0.5543744889615698,0.12562911343399147,0.0069465885528498805,0.008788784600801899,2022-03-16
Chainlink,LINK,0.00034961073352302366,0.9098873591989988,0.5805396565821749,0.12775842044134725,0.012443688319602554,0.008545133045951286,2022-03-16
TRON,TRX,1.473942218225569e-06,0.8948685857321652,0.5322976287816843,0.10859465737514515,0.010499794816348582,0.007826486374267529,2022-03-16
FTX Token,FTT,0.0010279671603315194,0.9061326658322904,0.5478331970564185,0.11672473867595816,0.0015723325558166846,0.00739350686441751,2022-03-16
Bitcoin Cash,BCH,0.0071710232142625325,0.9036295369211514,0.5404742436631234,0.11556329849012772,0.0237944021885613,0.007148552736358724,2022-03-16
LEO Token,LEO,0.00014484219839198994,0.8898623279098873,0.5363859362224038,0.11866047231900888,1.4355285128307275e-05,0.007064448987400065,2022-03-16
OKB,OKB,0.00046218490449553514,0.8973717146433041,0.5600981193785772,0.12195121951219509,0.003113805890881498,0.006287354696656119,2022-03-16
Algorand,ALGO,1.773550258219495e-05,0.9123904881101377,0.5396565821749794,0.10607820363917922,0.002616246481439371,0.006132704809425308,2022-03-16
Stellar,XLM,4.536181035667979e-06,0.902377972465582,0.5494685200327064,0.1233062330623306,0.004444790807737398,0.005822792794164564,2022-03-16
Uniswap,UNI,0.00021956815670995015,0.9211514392991239,0.5609157808667211,0.11285327138985674,0.0032534753707986344,0.005202829029918279,2022-03-16
Hedera,HBAR,4.852529013105604e-06,0.8961201501877347,0.5224856909239575,0.10336817653890822,0.0011315977904962195,0.00497047886321784,2022-03-16
Axie Infinity,AXS,0.0012242441092900577,0.9261576971214018,0.5789043336058871,0.12524196670538132,0.0049882907267267485,0.0047266117845443075,2022-03-16
Decentraland,MANA,5.895586967589284e-05,0.9073842302878599,0.5813573180703189,0.11072396438250093,0.008307466624523871,0.004622066663658957,2022-03-16
Ethereum Classic,ETC,0.0006533669017505762,0.916145181476846,0.5535568274734259,0.10994967092528066,0.005447800077022901,0.004519657966852566,2022-03-16
Elrond,EGLD,0.003943735235218681,0.9123904881101377,0.5682747342600163,0.1523422377080913,0.00550296263343598,0.004490547587318854,2022-03-16
The Sandbox,SAND,7.472595828195586e-05,0.8923654568210263,0.6312346688470972,0.12582268679829653,0.01707310896611286,0.004408062204502983,2022-03-16
Internet Computer,ICP,0.00039449483186335696,0.9061326658322904,0.543744889615699,0.10123886953155244,0.002728326026892651,0.004358089102415959,2022-03-16
Monero,XMR,0.004593705502536263,0.8848560700876096,0.5372035977105477,0.09388308168795971,0.00434274685925194,0.004317906260415446,2022-03-16
cETH,CETH,0.001303094552320373,0.8798498122653317,0.5355682747342599,0.1157568718544328,1.8788997687273245e-08,0.00402731246127999,2022-03-16
VeChain,VET,1.1608739024928562e-06,0.916145181476846,0.5551921504497137,0.11343399148277192,0.00489339695034977,0.004003691351056567,2022-03-16
Fantom,FTM,2.959924319383705e-05,0.9349186483103881,0.5461978740801308,0.09272164150212928,0.020248589404455515,0.003875146307341696,2022-03-16
Filecoin,FIL,0.000418999123389701,0.9011264080100125,0.5363859362224038,0.10007742934572203,0.004563756746786052,0.003848592016971886,2022-03-16
Osmosis,OSMO,0.00022781712613466004,0.8986232790988735,0.5429272281275551,0.10782036391792486,0.0016232452782534521,0.0038330694396812677,2022-03-16
Klaytn,KLAY,2.668784222041003e-05,0.9011264080100125,0.5470155355682746,0.10569105691056908,0.0009861584447221471,0.003825712220350122,2022-03-16
Frax,FRAX,2.4222661969510253e-05,0.8785982478097623,0.5290269828291086,0.10801393728222994,0.00031404511454590623,0.0036097367663301167,2022-03-16
Waves,WAVES,0.00069436913212634,0.8986232790988735,0.5944399018806213,0.16085946573751447,0.02603070991538177,0.0036035739813683604,2022-03-16
Theta Network,THETA,6.841792283953066e-05,0.9211514392991239,0.5551921504497137,0.10723964382500965,0.002051187700507073,0.00352177441169956,2022-03-16
Magic Internet Money,MIM,2.4205290610368807e-05,0.8811013767209012,0.5314799672935404,0.10840108401084009,0.0007705441413228011,0.003503170348501633,2022-03-16
The Graph,GRT,1.069493439318072e-05,0.8848560700876096,0.5617334423548649,0.1689895470383275,0.006708434718994163,0.0034352847617410273,2022-03-16
Tezos,XTZ,7.399810803859911e-05,0.9073842302878599,0.5486508585445625,0.11053039101819587,0.001982189821269627,0.003350616187507788,2022-03-16
cUSDC,CUSDC,5.466884585029725e-07,0.8798498122653317,0.5290269828291086,0.10820751064653501,7.220164378512869e-10,0.003071306864405529,2022-03-16
Helium,HNT,0.0005269635761542864,0.8785982478097623,0.5674570727718724,0.1130468447541618,0.0003869117107874486,0.002729473524741112,2022-03-16
THORChain,RUNE,0.00017541190861297367,0.9311639549436797,0.4799672935404742,0.25687185443283,0.005140869094176146,0.002705336392633394,2022-03-16
EOS,EOS,4.997905000782619e-05,0.904881101376721,0.5543744889615698,0.11730545876887338,0.005831166726800185,0.0025172635540811244,2022-03-16
ECOMI,OMI,8.265515913596711e-08,0.904881101376721,0.5502861815208503,0.06562137049941927,5.9446808289870595e-05,0.0024628665107460147,2022-03-16
IOTA,MIOTA,1.7282464329054923e-05,0.9036295369211514,0.5372035977105477,0.11033681765389079,0.00046518041572061786,0.0024623709215443436,2022-03-16
cDAI,CDAI,5.312285054299033e-07,0.8798498122653317,0.5282093213409648,0.10801393728222994,1.6206101685359151e-09,0.002418072207119633,2022-03-16
Flow,FLOW,0.00013174089401156834,0.902377972465582,0.5470155355682746,0.09775454897406115,0.000991757567413813,0.0023940023613718557,2022-03-16
Theta Fuel,TFUEL,3.942085405365417e-06,0.9111389236545683,0.5339329517579721,0.12040263259775452,0.0002779911210204442,0.002345851783441967,2022-03-16
Aave,AAVE,0.0033345245815290764,0.9274092615769712,0.6353229762878168,0.13298490127758417,0.004873331866713408,0.002314820048762146,2022-03-16
Zcash,ZEC,0.003613533841482499,0.9061326658322904,0.5813573180703189,0.1225319396051103,0.004778214460286973,0.0022372185693541225,2022-03-16
Maker,MKR,0.048100711182438506,0.9173967459324155,0.5862632869991823,0.13298490127758417,0.0016026198421992472,0.002199319412106104,2022-03-16
JUNO,JUNO,0.0009304352277217143,0.9036295369211514,0.6067048242027799,0.1022067363530778,0.0001983487379569867,0.0021672706566278005,2022-03-16
Gala,GALA,5.5263485067305095e-06,0.9136420525657072,0.5666394112837285,0.11517615176151759,0.00952383451291162,0.002125054168642934,2022-03-16
BitTorrent,BTT,4.3931584988527025e-11,0.8898623279098873,0.5461978740801308,0.10859465737514515,0.0015161172328107912,0.0020748543805296036,2022-03-16
Arweave,AR,0.0007889896637627183,0.8773466833541927,0.588716271463614,0.10840108401084009,0.0008740203508644397,0.002025649134171132,2022-03-16
Huobi BTC,HBTC,1.0,0.9136420525657072,0.5600981193785772,0.1211769260549748,3.279573684547459e-06,0.002025501238197866,2022-03-16
PancakeSwap,CAKE,0.00013513752848056654,0.9136420525657072,0.5363859362224038,0.09485094850948507,0.0017970612163722103,0.0018877628468177176,2022-03-16
Quant,QNT,0.002731379346534112,0.9036295369211514,0.5306623058053965,0.11053039101819587,0.0004095465032261417,0.0018550818160475591,2022-03-16
Harmony,ONE,3.092029106149063e-06,0.9123904881101377,0.5421095666394112,0.10569105691056908,0.0012970479866853352,0.0018481250623476205,2022-03-16
eCash,XEC,1.9237890816156153e-09,0.904881101376721,0.5241210139002452,0.13588850174216024,0.0006463491151644721,0.0018449273475169199,2022-03-16
Bitcoin SV,BSV,0.0018708177421386417,0.8973717146433041,0.5404742436631234,0.10433604336043358,0.0023339850897354094,0.0017980040604214096,2022-03-16
NEO,NEO,0.0004883875132563783,0.9111389236545683,0.5511038430089941,0.10472319008904372,0.0025593334796283626,0.0017283337375955763,2022-03-16
TrueUSD,TUSD,2.4261674742554178e-05,0.8811013767209012,0.5290269828291086,0.10820751064653501,0.00198261079327304,0.001725360427897625,2022-03-16
Huobi Token,HT,0.00021786983947545105,0.8936170212765958,0.5355682747342599,0.10317460317460314,0.0005542928651143224,0.0017092455682708306,2022-03-16
KuCoin Token,KCS,0.0004466574326372577,0.8986232790988735,0.5355682747342599,0.11188540456833138,0.00014807523222456904,0.0017070427379733426,2022-03-16
Celsius Network,CEL,7.715212575981173e-05,0.8923654568210263,0.5543744889615698,0.12698412698412695,6.779385684628351e-05,0.0016498533770656566,2022-03-16
Stacks,STX,3.0569710184979385e-05,0.9036295369211514,0.5494685200327064,0.14343786295005803,0.0007658610111801165,0.0016130198790604302,2022-03-16
Humans.ai,HEART,1.0740758297189892e-06,0.9123904881101377,0.5985282093213409,0.0021293070073557657,3.1981340967619e-05,0.0016022407008458878,2022-03-16
