coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date,price_ma_2,price_std_2,liquidity_ratio,cap_to_volume,weighted_change
0x,ZRX,1.2368383411031793e-05,0.9123904881101377,0.5568274734260016,0.11343399148277192,0.0005059000197453407,0.0004666978252893881,2022-03-16,,,37.84302141782261,0.9206900909647832,0.00028169902980096237
0x,ZRX,1.2571429367253547e-05,0.8848560700876096,0.5412919051512673,0.10607820363917922,0.00041812929886618294,0.00048111885727857907,2022-03-17,1.2469906389142671e-05,1.4357517253690907e-07,30.809525478214223,1.147900799538683,0.00022633000478283982
1inch,1INCH,3.639251213183343e-05,0.9073842302878599,0.6189697465249386,0.13956639566395662,0.002079177997659812,0.0007092350901847408,2022-03-16,,,55.60412711318591,0.34094923174008473,0.0012869482781917233
1inch,1INCH,3.614989538404784e-05,0.8911138923654569,0.525756336876533,0.12485481997677117,0.0011071923058204483,0.0007109879272448171,2022-03-17,3.6271203757940634e-05,1.7155594758861632e-07,29.803376143446062,0.6415745024672758,0.000582113370926041
AIOZ Network,AIOZ,5.759624509726349e-06,0.9399249061326659,0.7628781684382665,0.1546651180797522,0.00023673874722831244,6.241855036361938e-05,2022-03-16,,,35.022470092483935,0.26255101909692374,0.00018060282188390474
AIOZ Network,AIOZ,5.205609166157966e-06,0.8660826032540676,0.4505314799672935,0.08730158730158727,9.481686255323795e-05,4.816643593899428e-05,2022-03-17,5.482616837942157e-06,3.917480063185984e-07,15.279219173246974,0.5026926853530813,4.2717981411965744e-05
APENFT,NFT,3.692961712408549e-11,0.886107634543179,0.5322976287816843,0.09891598915989157,0.001191038989048048,0.0004582340104749785,2022-03-16,,,1190.9950060584777,0.384411931727938,0.0006339872296568104
APENFT,NFT,3.730033551470186e-11,0.8823529411764707,0.5363859362224038,0.09794812233836622,0.0009128852201458473,0.00046499067568704134,2022-03-17,3.711497631939367e-11,2.621374879154043e-13,912.8511704909131,0.5088064293378476,0.0004896587934715255
API3,API3,0.00011402987142322064,0.916145181476846,0.5216680294358135,0.08846302748741773,0.0005131958379141261,0.0002129010749646562,2022-03-16,,,4.461413644686812,0.4140466710666218,0.0002677178614793233
API3,API3,0.00011257417093650712,0.8848560700876096,0.5183973834832378,0.07975222609368948,0.000529701689478991,0.00021205886726069704,2022-03-17,0.00011330202117986387,1.0293356855316834e-06,4.663927415108469,0.39958204668404745,0.00027459596985255946
ARPA Chain,ARPA,1.6623054062047894e-06,0.916145181476846,0.5494685200327064,0.10646535036778937,0.00025612011599210056,1.4459215693709155e-06,2022-03-16,,,96.20237986039659,0.005623525657616529,0.0001407299410847846
ARPA Chain,ARPA,1.6741373710098338e-06,0.8811013767209012,0.5347506132461161,0.10085172280294229,0.000235328666213314,2.567502652170718e-06,2022-03-17,1.6682213886073117e-06,8.366462548407394e-09,88.00171179106138,0.010864118573974643,0.00012584214857196021
Aave,AAVE,0.0033345245815290764,0.9274092615769712,0.6353229762878168,0.13298490127758417,0.004873331866713408,0.002314820048762146,2022-03-16,,,1.4610391102197686,0.47489996825410014,0.0030961397059986245
Aave,AAVE,0.0035708332938722363,0.8898623279098873,0.5862632869991823,0.1376306620209059,0.007020324416837697,0.002504620469599387,2022-03-17,0.0034526789377006565,0.0001670954929513094,1.9654681053792797,0.3567162433903648,0.004115758468415886
Aave [OLD],LEND,3.2995877662835235e-05,0.9136420525657072,0.5936222403924775,0.11536972512582266,8.851597026286958e-08,4.809354270455149e-06,2022-03-16,,,0.0026037265794622054,4.41826707355862,5.254504857795855e-08
Aave [OLD],LEND,3.566466188847667e-05,0.8836045056320401,0.5928045789043336,0.12195121951219509,2.044295559087798e-07,1.2100992112945612e-05,2022-03-17,3.433026977565595e-05,1.8871154234747482e-06,0.0055756563780840415,10.04707336645773,1.2118677680610412e-07
Aavegotchi,GHST,4.731026578218475e-05,0.8898623279098873,0.5347506132461161,0.11130468447541615,0.0004884417382253192,6.643923607397204e-05,2022-03-16,,,10.110516477544213,0.1357449332271415,0.00026119451905098835
Aavegotchi,GHST,4.7067649034399164e-05,0.8798498122653317,0.5282093213409648,0.10646535036778937,0.0004997850082825893,6.685473885033189e-05,2022-03-17,4.718895740829196e-05,1.7155594758861632e-07,10.397533857437523,0.13349988067655222,0.00026399110004133496
